# Two models served from one /metrics endpoint. The scraper must filter by
# `model_name` so the configured replica's stats aren't polluted by the other
# model's series.
# HELP vllm:kv_cache_usage_perc KV cache usage. 1 means 100 percent usage.
# TYPE vllm:kv_cache_usage_perc gauge
vllm:kv_cache_usage_perc{model_name="primary"} 0.20
vllm:kv_cache_usage_perc{model_name="other"} 0.95
# HELP vllm:prefix_cache_hits_total Counter of cached blocks reused.
# TYPE vllm:prefix_cache_hits_total counter
vllm:prefix_cache_hits_total{model_name="primary"} 10
vllm:prefix_cache_hits_total{model_name="other"} 999
# HELP vllm:prefix_cache_queries_total Counter of prefix cache queries.
# TYPE vllm:prefix_cache_queries_total counter
vllm:prefix_cache_queries_total{model_name="primary"} 40
vllm:prefix_cache_queries_total{model_name="other"} 1000
# HELP vllm:num_requests_running Number of requests currently running.
# TYPE vllm:num_requests_running gauge
vllm:num_requests_running{model_name="primary"} 2
vllm:num_requests_running{model_name="other"} 50
# HELP vllm:num_requests_waiting Number of requests waiting to be processed.
# TYPE vllm:num_requests_waiting gauge
vllm:num_requests_waiting{model_name="primary"} 0
vllm:num_requests_waiting{model_name="other"} 30
